NDA,Generic Name ,DDI annotation based on study criteria,Total number of mechanisms per OAD according to study criteria,Additional DDI annotations based on mechanisms that did not meet study criteria but have actionable recommendations in U.S. Food and Drug Administration drug labels ,DDI mechanisms identified by study criteria but do not have actionable FDA recommendations,Final DDI annotation,Brand Name,Class,Date Approved,# of DDI Studies,Drug 1,P/V?,Type,CMaxR,AUCR,Source,Drug 2,P/V?,Type,CMaxR,AUCR,Source,Drug 3,P/V?,Type,CMaxR,AUCR,Source,Drug 4,P/V?,Type,CMaxR,AUCR,Source,Drug 5,P/V?,Type,CMaxR,AUCR,Source,Drug 6,P/V?,Type,CMaxR,AUCR,Source,Drug 7,P/V?,Type,CMaxR,AUCR,Source,Drug 8,P/V?,Type,CMaxR,AUCR,Source,Drug 9,P/V?,Type,CMaxR,AUCR,Source,Drug 10,P/V?,Type,CMaxR,AUCR,Source,Drug 11,P/V?,Type,CMaxR,AUCR,Source,Drug 12,P/V?,Type,CMaxR,AUCR,Source,Drug 13,P/V?,Type,CMaxR,AUCR,Source,Drug 14,P/V?,Type,CMaxR,AUCR,Source,Drug 15,P/V?,Type,CMaxR,AUCR,Source,Drug 16,P/V?,Type,CMaxR,AUCR,Source,Drug 17,P/V?,Type,CMaxR,AUCR,Source,Drug 18,P/V?,Type,CMaxR,AUCR,Source,Drug 19,P/V?,Type,CMaxR,AUCR,Source,Drug 20,P/V?,Type,CMaxR,AUCR,Source,Drug 21,P/V?,Type,CMaxR,AUCR,Source,Drug 22,P/V?,Type,CMaxR,AUCR,Source
211192,Ivosidenib,"Moderately sensitive CYP3A substrate, Strong CYP3A inducer",2,Victim with strong inducers,None,"Moderately sensitive CYP3A substrate, Strong CYP3A inducer, Victim with strong inducers",Tibsovo,IDH1 Inhibitor,20/07/18,15,Rifampin (M),Vic,PBPK,0.81,0.67,"FDA Label, PMID: 32978634",Itraconazole,Vic,DDI,1.02,2.69,"FDA Label, PMID: 31011758",Fluconazole,Vic,PBPK,1.52,1.9,"FDA Label, PMID: 32978634",Midazolam,Perp,PBPK,0.26,0.17,"FDA Label, PMID: 33822485",Bupropion,Perp,PBPK,0.92,0.9,PMID: 33822485,Repaglinide,Perp,PBPK,0.61,0.52,PMID: 33822485,Warfarin,Perp,PBPK,0.99,0.84,PMID: 33822485,Venetoclax,Perp,DDI,0.42,0.36,PMID: 33822485,Digoxin,Perp,PBPK,1.02,1.01,PMID: 33822485,Rosuvastatin,Perp,PBPK,1.03,1.02,PMID: 33822485,Methotrexate,Perp,PBPK,1,1.27,PMID: 33822485,Ketoconazole,Vic,PBPK,2.26,3.23,PMID: 32978634,Voriconazole,Vic,POPPK,,1.57,PMID: 33493392,Fluconazole,Vic,POPPK,,1.69,PMID: 33493392,Posaconazole,Vic,POPPK,,1.53,PMID: 33493392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208462,Ixazomib,Victim with strong inducers,1,None,None,Victim with strong inducers,Ninlaro,Proteasome Inhibitor,20/11/15,3,Rifampin (M),Vic,DDI,0.46,0.26,"FDA Label, PMID: 28800141",Clarithromycin,Vic,DDI,0.96,1.11,"FDA Label, PMID: 28800141",Ketoconazole,Vic,DDI,1,1.09,PMID: 28800141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22059,Lapatinib,"Moderately sensitive CYP3A Substrate, Moderate P-gp Inhibitor, victim with strong inducers",3,"CYP3A inhibitor, CYP2C8 inhibitor ",None,"Moderately sensitive CYP3A Substrate, Moderate P-gp Inhibitor, victim with strong inducers, CYP3A inhibitor, CYP2C8 inhibitor ",Tykerb,TKI,13/03/07,8,Carbamazepine (strong),Vic,DDI,0.41,0.28,"FDA Label, PMID: 19371315",Ketoconazole,Vic,DDI,2.14,3.57,"FDA Label, PMID: 19371315",Paclitaxel,Perp,DDI,N/A,1.23,FDA Label,Midazolam,Perp,DDI,N/A,1.45,FDA Label,Esomeprazole,Vic,DDI,N/A,NC,FDA Label,Digoxin,Perp,DDI,2.28,2.8,"FDA Label, PMID: 27137717",Docetaxel,Both,DDI,1.15 (lap),"1.07 (lap), 1.06 (doc)",PMID: 18565892,Everolimus,Both,DDI,"0.95 (eve), 1.07 (lap)","1.26 (eve), 1.10 (lap)",PMID: 24057042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210861,Larotrectinib,"Moderately sensitive CYP3A Substrate, victim with strong and moderate inducers",2,CYP3A inhibitor,None,"Moderately sensitive CYP3A Substrate, victim with strong and moderate inducers, CYP3A inhibitor",Vitrakvi,TKI,26/11/18,6,Rifampin (M),Vic,DDI,0.29,0.19,FDA Label,Rifampin (S),Vic,DDI,1.8,1.7,FDA Label,Efavirenz (moderate),Vic,PBPK,0.4,0.28,FDA Label,Itraconazole,Vic,DDI,2.8,4.3,FDA Label,Fluconazole,Vic,PBPK,1.9,2.7,FDA Label,Midazolam,Perp,DDI,1.7,1.7,FDA Label,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21880,Lenalidomide,None,0,None,None,None,Revlimid,Thalidomide Analog,27/12/05,6,Digoxin,Perp,DDI,1.14,1.14,"FDA Label, PMID: 24659021",Warfarin,Both,DDI,"NC (len), NC (war)","NC (len), NC (war)","FDA Label, PMID: 26024727",Dexamethasone,Vic,DDI,NC,NC,FDA Label,Quinidine,Vic,DDI,NC,NC,"FDA Label, PMID: 24659021 ",Temsirolimus,Both,DDI,"NC (len), NC (tem)","NC (len), NC (tem)","FDA Label, PMID: 24659021",Digoxin,Perp,DDI,1.14,1.07,PMID: 24659021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206947,Lenvatinib,None,0,None,None,None,Lenvima,TKI,13/02/15,7,Rifampin (S),Vic,DDI,1.33,1.31,"FDA Label, PMID: 25022720",Rifampin (M),Vic,DDI,1,0.82,"FDA Label, PMID: 25022720",Ketoconazole,Vic,DDI,1.19,1.15,FDA Label,Repaglinide,Perp,PBPK,1,1.01,FDA Label,Midazolam,Perp,PBPK,1.25,1.28,FDA Label,Everolimus + pembrolizumab,Both,POPPK,NC (all),NC (all),FDA Label,Midazolam,Perp,DDI,0.86,0.91,PMID: 32067158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20726,Letrozole,None,0,None,None,None,Femara,Aromatase Inhibitor,1997; Label date: 04/05/2018,7,Letrozole,Perp,DDI,0.62,,FDA Label,Cimetidine,Vic,DDI,NC,NC,FDA Label,Warfarin,Vic,DDI,NC,NC,FDA Label,Olaparib,Both,DDI,"Ola: 1.04, Let: 0.94","Ola: 1.10, Let: 0.95",PMID: 30324586,Methadone,Perp,DDI,,1.23,PMID: 22722506,Tamoxifen,Perp,DDI,0.62,,PMID: 10430063,Everolimus,Vic,DDI,1.09,1.1,PMID: 18039566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210868,Lorlatinib,"Victim with strong inducers, Moderate CYP3A inducer, Moderate P-gp inducer",3,"CYP3A substrate, victim with moderate inducers",None,"Victim with strong and moderate inducers, Moderate CYP3A inducer, Moderate P-gp inducer, CYP3A substrate",Lorbrena,TKI,02/11/18,12,Rifampin (M; strong),Vic,DDI,0.24,0.15,"FDA Label, PMID: 31863284",Modafinil,Vic,DDI,0.78,0.77,"FDA Label, PMID: 33937953",Itraconazole,Vic,DDI,1.24,1.42,"FDA Label, PMID: 31728714",Fluconazole,Vic,Pred (Not Specified),1.28,1.59,FDA Label,Verapamil,Vic,Pred (Not Specified),NC,NC,FDA Label,Erythromycin,Vic,Pred (Not Specified),NC,NC,FDA Label,Bupropion,Perp,DDI,0.73,0.75,FDA Label,Tolbutamide,Perp,DDI,0.85,0.57,FDA Label,Midazolam,Perp,DDI,0.5,0.36,FDA Label,Acetaminophen,Perp,DDI,0.72,0.55,FDA Label,Fexofenadine,Perp,DDI,0.37,0.33,FDA Label,Rabeprazole,Vic,DDI,0.71,1.01,"FDA Label, PMID: 34288547",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215310,Mobocertinib,"Strongly sensitive CYP3A Substrate, victim with strong and moderate inducers",2,CYP3A inducer,None,"Strongly sensitive CYP3A Substrate, victim with strong and moderate inducers, CYP3A inducer",Exkivity,TKI,15/09/21,11,Rifampin (M),Vic,DDI,0.05,0.04,"FDA Label, PMID: 34145979",Efavirenz,Vic,PBPK,0.44,0.4,FDA Label,Itraconazole,Vic,DDI,3.83,8.43,"FDA Label, PMID: 34145979",Ketoconazole,Vic,PBPK,4.9,5.71,FDA Label,Erythromycin,Vic,PBPK,2.14,2.42,FDA Label,Fluconazole,Vic,PBPK,3.15,3.89,FDA Label,Diltiazem,Vic,PBPK,2.34,2.69,FDA Label,Verapamil,Vic,PBPK,2.88,3.45,FDA Label,Midazolam,Perp,DDI,1.03,0.68,FDA Label,Dabigatran,Perp,PBPK,N/A,NC,FDA Label,Digoxin,Perp,PBPK,N/A,NC,FDA Label,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208051,Neratinib,"Moderately sensitive CYP3A Substrate, Moderately affected by ARAs (PPIs ), victim with strong and moderate inducers",3,"Moderately affected by ARAs (H2RA, antacids )",None,"Moderately sensitive CYP3A Substrate, Moderately affected by ARAs (PPIs, H2RA, antacids ), victim with strong and moderate inducers",Nerlynx,TKI,17/07/17,9,Rifampin (M) ,Vic,DDI,0.24,0.13,FDA Label,Efavirenz,Vic,DDI,0.64,0.48,FDA Label,Ketoconazole,Vic,DDI,3.21,4.81,"FDA Label, PMID: 21395644",Verapamil,Vic,DDI,3.03,3.99,FDA Label,Fluconazole,Vic,DDI,1.3,1.68,FDA Label,Lansoprazole,Vic,DDI,0.29,0.35,"FDA Label, PMID: 27628584",Ranitidine,Vic,DDI,0.43,0.52,FDA Label,Digoxin,Perp,DDI,1.54,1.32,FDA Label,Loperamide,Vic,DDI,0.81,1.08,PMID: 31512028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22068,Nilotinib,"Moderately sensitive CYP3A substrate, victim with strong inducers, Moderate CYP3A inhibitor",3,"Affected by ARAs (PPIs, H2RAs, antacids)",Moderate CYP3A inhibitor,"Moderately sensitive CYP3A substrate, victim with strong inducers, Moderate CYP3A inhibitor, Affected by ARAs (PPIs, H2RAs, antacids)",Tasigna,TKI (BCR-ABL),29/10/07,9,Rifampin (M),Vic,DDI,0.36,0.2,"FDA Label, PMID: 20702754",Ketoconazole,Vic,DDI,1.84,3.01,"FDA Label, PMID: 20702754",Esomeprazole,Vic,DDI,,0.66,FDA Label,Famotidine,Vic,DDI,0.97,0.91,"FDA Label, PMID: 23070146",Al OH + Mg OH,Vic,DDI,0.95,1.05,"FDA Label, PMID: 23070146",Imatinib,Both,DDI,,"1.5 (nil), 1.2 (ima)",FDA Label,Midazolam,Perp,DDI,1.94,2.6,"FDA Label, PMID: 25418605",Warfarin,Perp,DDI,NC,NC,"FDA Label, PMID: 21184622",Calcium Carbonate,Vic,DDI,0.92,0.92,PMID: 24036846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208447,Niraparib,None,0,None,None,None,Zejula,PARP Inhib,27/03/17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208558,Olaparib,"Moderately sensitive CYP3A substrate, victim with strong and moderate inducers",2,None,None,"Moderately sensitive CYP3A substrate, victim with strong and moderate inducers",Lynparza,PARP Inhib,19/12/14,13,Rifampin (M),Vic,DDI,0.29,0.13,FDA Label,Efavirenz,Vic,PBPK,0.7,0.4,FDA Label,Itraconazole ,Vic,DDI,1.42,2.7,FDA Label,Fluconazole,Vic,PBPK,1.14,2.2,FDA Label,Fluvoxamine,Vic,PBPK,1.01,1.02,PMID: 29717476,Dexamethasone,Vic,PBPK,1,1,PMID: 29717476,Midazolam,Perp,PBPK,1.18,1.61,PMID: 29717476,Simvastatin,Perp,PBPK,1.33,1.54,PMID: 29717476,Digoxin,Perp,PBPK,1.05,1.02,PMID: 29717476,Raltegravir,Perp,PBPK,1.04,1.07,PMID: 29717476,Tamoxifen,Both,DDI,"1.13 (tam), 0.8 (ola) ","1.16 (tam), 0.73 (ola) ",PMID: 30324586,Anastrozole,Both,DDI,"NC (ana), NC (ola)","NC (ana), NC (ola)",PMID: 30324586,Letrozole,Both,DDI,"NC (let), NC (ola)","NC (let), NC (ola)",PMID: 30324586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215814,Olutasidenib,Victim with strong inducers,1,"Victim with moderate inducers, CYP3A inducer",None,"Victim with strong and moderate inducers, CYP3A inducer",Rezlidhia,IDH1 Inhibitor,01/12/22,2,Rifampin (M),Vic,DDI,0.57,0.2,FDA Label,Itraconazole,Vic,DDI,0.82,1,FDA Label,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208065,Osimertinib,Victim with strong inducers,1,None,None,Victim with strong inducers,Tagrisso,TKI,13/11/15,8,Rifampin (M),Vic,DDI,0.27,0.22,"FDA Label, PMID: 29381826",Itraconazole,Vic,DDI,0.8,1.24,"FDA Label, PMID: 29381826",Simvastatin,Perp,DDI,0.77,0.92,FDA Label,Omeprazole,Vic,DDI,1.02,1.07,"FDA Label, PMID: 29178442",Rosuvastatin,Perp,DDI,1.72,1.35,FDA Label,Fexofenadine,Perp,DDI,1.76,1.56,"FDA Label, PMID: 30875094",Efavirenz,Vic,PBPK,0.64,0.58,PMID: 29468841,Dexamethasone,Vic,PBPK,0.99,0.99,PMID: 29468841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207103,Palbociclib ,"Moderately affected by ARAs (PPIs; Outcomes), victim with strong inducers",2,"CYP3A substrate, CYP3A inhibitor",Moderately affected by PPIs,"Moderately affected by ARAs (PPIs; Outcomes), victim with strong inducers, CYP3A substrate, CYP3A inhibitor",Ibrance,CDK4/6 Inhib,03/02/15,10,Rifampin (M),Vic,DDI,0.3,0.15,FDA Label,Itraconazole,Vic,DDI,1.34,1.87,FDA Label,Midazolam,Perp,DDI,1.37,1.61,FDA Label,Rabeprazole,Vic,DDI,0.2,0.38,"FDA Label, PMID: 28430398",Erythromycin,Victim,Clinical DDI,1.43,1.43,PMID: 34674222,Diltiazem,Victim,PBPK,1.23,1.42,PMID: 27402157,Verapamil,Victim,PBPK,1.22,1.38,PMID: 27402157,Fluoxetine,Victim,PBPK,1,1,PMID: 27402157,Fluvoxamine,Victim,PBPK,1,1,PMID: 27402157,Efavirenz,Victim,PBPK,0.68,0.62,PMID: 27402157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205353,Panobinostat,Victim with strong inducers,1,"CYP2D6 inhibitor, CYP3A substrate",None,"Victim with strong inducers, CYP2D6 inhibitor, CYP3A substrate",Farydak,HDAC Inhibitor,23/02/15,5,Ketoconazole,Vic,DDI,1.62,1.8,"FDA Label, PMID: 21706316",Rifampin (M),Vic,PBPK,0.45,0.35,"FDA Label, PMID: 28912253",Dextromethorphan,Perp,DDI,1.83,1.78,"FDA Label, PMID: 24013574",Midazolam,Perp,PBPK,1.04,1.04,"FDA Label, PMID: 28912253",Dexamethasone,Vic,PBPK,0.9,0.85,PMID: 28912253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22465,Pazopanib,None,0,"Affected by ARAs (PPIs, H2RAs, antacids), CYP3A inhibitor, CYP2D6 inhibitor, CYP2C8 inhibitor, CYP3A substrate, P-gp substrate, BCRP substrate, victim with strong inducers",None,"Affected by ARAs (PPIs, H2RAs, antacids), CYP3A inhibitor, CYP2D6 inhibitor, CYP2C8 inhibitor, CYP3A substrate, P-gp substrate, BCRP substrate, victim with strong inducers",Votrient,TKI,19/10/09,14,Ketoconazole,Vic,DDI,1.47,1.7,"FDA Label, PMID: 23636448",Lapatinib,Vic,DDI,1.5 to 1.6,1.5 to 1.6,FDA Label,Paclitaxel,Perp,DDI,1.31,1.26,FDA Label,S-Warfarin,Perp,DDI,1.03,0.82,"FDA Label, PMID: 20881954",Omeprazole,Perp,DDI,0.84,0.81,"FDA Label, PMID: 20881954",Dextromethorphan,Perp,DDI,N/A,N/A,"FDA Label, PMID: 20881954",Midazolam,Perp,DDI,1.29,1.32,"FDA Label, PMID: 20881954",Caffeine,Perp,DDI,0.98,1,"FDA Label, PMID: 20881954",Esomeprazole,Vic,DDI,0.58,0.6,"FDA Label, PMID: 23636448",Cisplatin+Aprepitant,Vic,DDI,1.45,N/A,PMID: 26779916,Bevacizumab,Vic,DDI,1.12,N/A,PMID: 24705975,Ifosfamide,Both,DDI,"NC (ifo), 0.65 (paz)","NC (ifo), 0.73 (paz)",PMID: 24366297,Gemcitabine,Perp,DDI,1.06,1.26,PMID: 23064954,Docetaxel,Both,DDI,"1.47 (doc), 1.13 (paz)","1.51 (doc), 0.97 (paz)",PMID: 25533184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213736,Pemigatinib,Victim with strong and moderate inducers,1,CYP3A substrate,None,"Victim with strong and moderate inducers, CYP3A substrate",Pemazyre,TKI,17/04/20,10,Rifampin (M),Vic,DDI,0.38,0.15,"FDA Label, PMID: 34282472",Efavirenz,Vic,PBPK,0.76,0.48,"FDA Label, PMID: 35506332",Itraconazole,Vic,DDI,1.17,1.88,"FDA Label, PMID: 34282472",Fluconazole,Vic,PBPK,1.15,1.83,"FDA Label, PMID: 35506332",Esomeprazole,Vic,DDI,0.65,0.92,"FDA Label, PMID: 34282472",Ranitidine,Vic,DDI,0.98,1.03,"FDA Label, PMID: 34282472",Clarithromycin,Vic,PBPK,1.2,1.89,PMID: 35506332,Erythromycin,Vic,PBPK,1.16,1.66,PMID: 35506332,Diltiazem,Vic,PBPK,1.13,1.51,PMID: 35506332,Fluvoxamine,Vic,PBPK,1.05,1.08,PMID: 35506332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211810,Pexidartinib,"Victim with strong inducers, Moderately affected by acid reducers (PPIs), Moderate CYP3A inducer",3,"CYP3A substrate, UGT substrate",None,"Victim with strong inducers, Affected by acid reducers (PPIs), Moderate CYP3A inducer, CYP3A substrate, UGT substrate",Turalio,"TKI (CSF1R, KIT, FLT3)",02/08/19,12,Rifampin (M),Vic,DDI,0.67,0.37,"FDA Label, PMID: 36264536",Efavirenz,Vic,PBPK,0.8,0.72,"FDA Label, PMID: 36264536",Itraconazole,Vic,DDI,1.48,1.73,"FDA Label, PMID: 36264536",Fluconazole,Vic,PBPK,1.38,1.65,"FDA Label, PMID: 36264536",Probenecid,Vic,DDI,1.06,1.6,"FDA Label, PMID: 36264536",Esomeprazole,Vic,DDI,0.55,0.47,"FDA Label, PMID: 36264536",Midazolam,Perp,DDI,0.72,0.43,"FDA Label, PMID: 32918831",Omeprazole,Perp,DDI,1.37,1.17,"FDA Label, PMID: 32918831",Tolbutamide,Perp,DDI,0.95,1.29,"FDA Label, PMID: 32918831",Digoxin,Perp,DDI,1.32,1.09,"FDA Label, PMID: 32918831",Rosiglitazone,Perp,PBPK,NC,NC,FDA Label,Repaglinide,Perp,PBPK,NC,NC,FDA Label,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204026,Pomalidomide,Moderate CYP1A2 substrate,1,None,None,Moderate CYP1A2 substrate,Pomalyst,Thalidomide Analog,08/02/13,4,Carbamazepine,Vic,DDI,0.75,0.8,"FDA Label, PMID: 25159194",Ketoconazole,Vic,DDI,1.07,1.19,"FDA Label, PMID: 25159194",Dexamethasone,Vic,DDI,NC,NC,FDA Label,Fluvoxamine,Vic,DDI,1.23,2.25,"FDA Label, PMID: 29762875",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203469,Ponatinib,Victim with strong inducers,1,CYP3A substrate,None,"Victim with strong inducers, CYP3A substrate",Iclusig,"TKI (BCR-ABL, VEGFR, PDGFR, FGFR, EPH, SRC Family)",14/12/12,10,Rifampin (M),Vic,DDI,0.57,0.38,"FDA Label, PMID: 27137144",Ketoconazole,Vic,DDI,1.47,1.78,"FDA Label, PMID: 23801357",Lansoprazole,Vic,DDI,0.75,0.94,"FDA Label, PMID: 25145453",Fluconazole,Vic,PBPK,1.18,1.6,PMID: 35997844,Itraconazole,Vic,PBPK,1.2,1.9,PMID: 35997844,Clarithromycin,Vic,PBPK,1.17,1.58,PMID: 35997844,Diltiazem,Vic,PBPK,1.14,1.42,PMID: 35997844,Voriconazole,Vic,PBPK,1.25,1.72,PMID: 35997844,Fluvoxamine,Vic,PBPK,1.05,1.16,PMID: 35997844,Phenytoin,Vic,PBPK,0.88,0.78,PMID: 35997844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213721,Pralsetinib,"Moderately sensitive CYP3A Substrate, victim with strong inducers, P-gp substrate",3,Victim with moderate inducers,None,"Moderately sensitive CYP3A Substrate, victim with strong and moderate inducers, P-gp substrate",Gavreto,TKI,04/09/20,8,Rifampin (M),Vic,DDI,0.7,0.32,FDA Label,Itraconazole (CYP3A+P-gp effect),Vic,DDI,1.84,3.51,FDA Label,Esomeprazole,Vic,DDI,0.75,0.85,FDA Label,Cyclosporine,Vic,DDI,1.48,1.81,FDA Label,Voriconazole,Vic,PBPK,1.2,2.22,FDA Label,Verapamil,Vic,PBPK,1.6,2.08,FDA Label,Fluconazole,Vic,PBPK,1.15,1.71,FDA Label,Efavirenz,Vic,PBPK,0.82,0.55,FDA Label,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203085,Regorafenib,"Victim with strong inducers, Moderate BCRP Inhibitor",2,CYP3A substrate,Moderate BCRP Inhibitor ,"Victim with strong inducers, Moderate BCRP Inhibitor, CYP3A substrate",Stivarga,TKI,27/09/12,11,Rifampin (M),Vic,DDI,N/A,0.5,FDA Label,Ketoconazole,Vic,DDI,N/A,1.33,FDA Label,Rosiglitazone,Perp,DDI,NC,NC,FDA Label,Warfarin,Perp,DDI,N/A,1.25,FDA Label,Omeprazole,Perp,DDI,NC,NC,FDA Label,Midazolam,Perp,DDI,NC,NC,FDA Label,Neomycin,Vic,DDI,N/A,NC,FDA Label,Irinotecan,Perp,DDI,N/A,1.28,FDA Label,Rosuvastatin,Perp,DDI,4.6,3.8,FDA Label,Cisplatin + Pemetrexed,Both,DDI,"1.03 (reg), 1.15 (cis), 1.19 (pem)","0.93 (reg), 1.17 (cis), 1.05 (pem)",PMID: 26003007,Esomeprazole,Vic,DDI,0.83,0.96,PMID: 30570132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214621,Relugolix,"Strongly sensitive CYP3A substrate, victim with strong inducers",2,P-gp substrate,None,"Strongly sensitive CYP3A substrate, victim with strong inducers, P-gp substrate",Orgovyx,GnRH Receptor Antagonist,18/12/20,8,Rifampin (M),Vic,DDI,0.77,0.45,FDA Label,Erythromycin,Vic,DDI,6.2,6.3,FDA Label,Voriconazole,Vic,DDI,0.82,1.12,FDA Label,Atorvastatin,Vic,DDI,0.78,0.95,FDA Label,Enzalutamide,Vic,DDI,NC,NC,FDA Label,"Acid-Reducing Agents (PPIs, H2RAs)",Vic,Outcomes,N/A,N/A,FDA Label,Midazolam,Perp,DDI,0.86,0.78,FDA Label,Rosuvastatin,Perp,DDI,0.67,0.73,FDA Label,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209092,Ribociclib,"Moderately sensitive CYP3A Substrate, Moderate CYP3A Inhibitor, Affected by PPIs (Outcomes), victim with strong and moderate inducers",4,None,"Affected by PPIs, victim with moderate inducers","Moderately sensitive CYP3A Substrate, Moderate CYP3A Inhibitor, Affected by PPIs (Outcomes), victim with strong and moderate inducers","Kisqali, Kryxana",CDK4/6 Inhib,13/03/17,7,Rifampin (M),Vic,DDI,0.19,0.11,FDA Label,Efavirenz ,Vic,PBPK,0.45,0.26,FDA Label,Ritonavir,Vic,DDI,1.67,3.21,FDA Label,Erythromycin,Vic,Pred (Not Specified),1.29,1.9,FDA Label,Midazolam ,Perp,DDI,2.1,3.8,FDA Label,Caffeine,Perp,DDI,0.9,1.2,FDA Label,PPIs,Victim,POPPK,0.96,0.96,PMID: 29134635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213973,Ripretinib,"Moderately sensitive CYP3A Substrate, victim with strong and moderate inducers",2,None,Moderately sensitive CYP3A Substrate ,"Moderately sensitive CYP3A Substrate, victim with strong and moderate inducers",Qinlock,TKI,15/05/20,10,Rifampin (M),Vic,DDI,0.82,0.39,FDA Label,Efavirenz,Vic,PBPK,0.68,0.38,"FDA Label, PMID: 36773833",Itraconazole,Vic,DDI,1.36,1.99,FDA Label,Pantoprazole,Vic,DDI,1.03,1.09,FDA Label,Erythromycin,Vic,PBPK,1.25,2.9,PMID: 36773833,Fluconazole,Vic,PBPK,1.21,2.14,PMID: 36773833,Diltiazem,Vic,PBPK,1.05,1.17,PMID: 36773833,Clarithromycin,Vic,PBPK,1.15,1.83,PMID: 36773833,Phenytoin,Vic,PBPK,0.78,0.5,PMID: 36773833,Carbamazepine,Vic,PBPK,0.82,0.56,PMID: 36773833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
